REFORECAST_DATE|LOCATION_CODE|RPT_MTH|RPT_RATE
2022-04-01|106484|2022-05-01|0.117535
2022-04-01|106485|2022-05-01|0.0
2022-04-01|106298|2022-05-01|0.11545
2022-04-01|106296|2022-05-01|0.09409
2022-04-01|106410|2022-05-01|0.115598
2022-04-01|106482|2022-05-01|0.117067
2022-04-01|106494|2022-05-01|0.112979
2022-04-01|104931|2022-05-01|0.301586
2022-04-01|104901|2022-05-01|0.128183
2022-04-01|104920|2022-05-01|0.120556
2022-04-01|104930|2022-05-01|0.131635
2022-04-01|106443|2022-05-01|0.125041
